预测结果,误差
12451.0,5337.93
12428.6,5995.33
12396.9,5895.71
12366.6,6000.49
12334.6,6048.17
12302.0,6061.02
12269.0,5972.68
12237.2,5964.06
12205.4,5879.36
12174.7,5675.64
12146.5,5627.84
12119.0,5596.61
12091.8,5691.2
12063.2,5766.57
12033.6,5691.21
12004.8,5586.24
11977.4,5307.41
11953.5,5197.38
11930.9,5220.46
11907.9,5268.6
11884.3,5300.85
11860.2,5391.57
11834.8,5299.32
11810.6,5124.52
11788.5,5238.03
11764.8,5171.66
11742.0,5130.98
11719.5,5156.86
11696.7,5226.3
11673.0,5189.27
11649.7,5081.15
11627.6,5046.11
11605.8,5032.18
11584.2,4965.63
11563.3,4941.59
11542.7,4915.85
11522.3,5273.66
11497.6,5237.07
11473.2,5226.2
11449.0,5149.6
11425.6,4973.03
11404.1,4804.93
11384.6,4788.32
11365.3,4797.26
11345.7,4836.09
11325.7,4836.87
11305.6,4774.0
11286.2,4781.42
11266.6,4785.17
11247.0,4738.69
11227.8,4738.03
11208.6,4734.85
11189.4,4723.48
11170.2,4712.99
11151.2,4768.53
11131.4,4821.95
11111.1,4809.49
11090.8,4748.52
11071.2,4683.53
11052.2,4661.78
11033.4,4641.53
11014.8,4577.83
10996.9,4559.14
10979.1,4440.31
10962.5,4476.25
10945.5,4500.53
10928.2,4529.17
10910.6,4532.33
10892.9,4484.37
10875.6,4503.54
10858.1,4681.95
10838.8,5082.03
10815.3,5219.11
10790.4,5232.16
10765.3,5192.86
10740.6,5436.66
10713.4,6041.43
10680.1,6188.12
10645.4,6096.6
10611.6,6302.26
10575.8,6222.82
10540.8,6717.29
10501.0,6580.46
10462.5,6669.15
10423.3,6319.85
10387.4,6123.62
10353.5,6074.73
10320.0,6203.22
10285.4,6117.85
10251.6,6111.0
10217.9,6256.41
10182.9,6324.55
10147.3,6402.32
10111.0,6705.36
10072.0,6636.66
10033.7,6580.04
9996.0,6472.04
9959.3,6533.11
9922.1,6514.82
9885.2,6478.44
9848.6,6570.23
9811.3,6568.88
9774.1,6502.86
9737.5,6345.09
9702.4,6145.86
9669.0,5860.96
9638.1,5655.25
9609.0,5473.81
9581.5,5670.53
9552.3,5524.82
9524.4,5529.23
9496.5,5682.62
9467.4,5642.02
9438.6,5590.39
9410.3,5666.39
9381.4,5469.11
9354.1,5583.74
9326.0,5534.45
9298.3,5546.03
9270.5,5414.62
9243.8,5378.0
9217.5,5394.87
9191.0,5334.38
9165.1,5244.64
9139.9,5103.81
9115.8,5083.55
9091.9,5057.76
9068.3,5255.71
9043.1,5396.85
9016.9,5370.55
8990.9,5391.06
8964.8,5432.84
8938.5,5281.72
8913.3,5292.03
8888.1,5266.67
8863.1,5230.7
8838.4,5147.88
8814.3,5110.32
8790.6,5242.17
8765.9,5225.88
8741.4,5154.05
8717.5,5151.1
8693.6,5107.35
8670.0,5092.21
8646.6,5070.3
8623.4,5068.9
8600.2,5151.62
8576.5,5154.9
8552.8,5082.8
8529.7,5084.89
8506.5,5031.17
8483.8,4977.58
8461.5,5005.48
8439.0,4986.65
8416.7,4949.36
8394.6,4988.9
8372.4,4977.64
8350.2,4689.12
8330.0,4665.62
8310.0,4623.71
8290.3,4660.83
8270.4,4637.98
8250.7,4636.2
8231.0,4630.69
8211.4,4603.2
8191.9,4572.35
8172.7,4501.96
8154.0,4243.2
8137.0,4210.47
8120.2,4133.02
8103.9,4159.02
8087.4,4103.92
8071.3,3931.7
8056.3,4289.41
8039.1,4190.77
8022.5,4191.05
8006.0,4172.77
7989.5,4139.42
7973.3,4138.68
7957.1,4125.66
7941.0,4126.42
7925.0,4194.02
7908.5,4036.25
7893.0,4016.15
7877.6,3990.78
7862.5,3986.54
7847.3,3896.74
7832.7,3904.53
7818.1,3937.01
7803.3,3910.79
7788.6,3910.83
7774.0,3888.79
7759.5,3823.0
7745.5,3729.55
7731.9,3736.98
7718.4,3719.63
7705.0,3675.89
7691.8,3635.4
7678.8,3686.46
7665.6,3666.54
7652.5,3640.58
7639.6,3645.49
7626.7,3690.81
7613.5,3665.76
7600.4,3551.89
7588.0,3550.63
7575.7,3460.15
7563.8,3449.36
7552.0,3437.84
7540.3,3387.77
7528.9,2646.02
7521.6,2561.79
7514.7,2603.46
7507.7,2478.93
7501.3,2447.78
7495.0,2305.61
7489.6,2220.89
7484.6,2308.79
7479.1,2168.92
7474.4,2439.38
7468.2,2395.35
7462.3,2397.68
7456.3,2303.79
7450.8,2414.62
7444.8,2248.15
7439.6,2219.23
7434.6,2158.29
7429.9,2152.86
7425.2,2115.92
7420.7,2138.87
7416.1,2038.91
7412.1,1893.94
7408.7,1974.51
7405.0,2209.39
7400.0,2107.17
7395.6,2115.41
7391.1,2089.81
7386.7,2126.05
7382.1,2112.31
7377.6,2050.93
7373.5,1983.34
7369.6,1712.46
7367.2,1596.12
7365.4,1647.74
7363.3,1678.83
7361.0,1605.28
7359.2,1422.48
7358.2,1211.29
7358.4,1010.38
7359.6,111.29
7365.4,386.77
7369.8,453.31
7378.6,614.09
7388.2,818.7
7398.8,487.16
7407.8,45.58
7414.0,148.95
7419.7,774.0
7430.2,576.83
7439.7,512.8
7448.9,177.03
7456.3,423.99
7465.1,538.16
7474.4,597.05
7484.1,1260.32
7497.2,1272.86
7510.4,1209.48
7523.3,1139.68
7535.9,736.56
7546.4,1007.41
7558.3,996.5
7570.2,1168.83
7583.0,551.92
7592.7,83.1
7599.9,186.14
7607.6,195.63
7615.5,382.79
7624.3,307.04
7632.7,7.91
7639.6,380.78
7648.4,269.18
7656.7,516.36
7666.2,571.68
7676.1,1017.5
7688.3,1171.17
7701.3,1277.69
7714.9,1612.58
7730.3,1345.88
7744.3,1537.4
7759.4,1771.95
7775.7,2433.68
7795.6,2873.03
7817.8,2996.68
7840.8,3176.7
7864.8,3901.6
7892.7,5039.85
7926.8,3206.05
7951.3,4423.05
7982.4,3907.98
8010.8,2726.93
8033.1,2545.62
8054.4,2751.0
8077.0,3907.76
8105.8,3054.69
8130.2,2824.96
8153.4,3078.64
8178.0,3299.01
8204.0,4109.08
8234.5,4352.28
8266.4,3833.5
8295.6,3057.27
8320.7,3483.27
8348.2,3040.9
8373.4,1813.56
8391.9,2481.6
8414.2,983.52
8428.2,1246.08
8443.8,2194.76
8464.6,2071.15
8484.8,2280.1
8506.2,2081.21
8526.5,1797.12
8545.4,1298.9
8561.5,1210.67
8577.2,1297.97
8593.4,1255.25
8609.4,864.59
8623.2,906.8
8637.3,864.03
8651.2,937.93
8665.6,1419.1
8682.7,1724.47
8701.5,1828.05
8720.9,2093.67
8741.9,2238.33
8763.7,3024.29
8790.0,2675.67
8814.5,3146.32
8841.7,3154.71
8869.0,2987.64
8895.5,2386.72
8918.7,2648.14
8943.4,2442.86
8967.0,1891.12
8987.6,1029.36
9003.3,1298.87
9020.7,1338.74
9038.2,1176.32
9054.9,1262.7
9072.1,1845.16
9092.7,1667.86
9112.3,1017.1
9128.3,983.68
9144.1,1261.71
9161.5,982.3
9177.4,957.66
9193.1,1167.18
9210.1,961.85
9226.0,491.82
9239.2,245.35
9251.0,326.99
9263.3,337.6
9275.7,494.09
9289.0,1097.64
9305.7,1315.59
9323.8,1260.36
9341.5,1236.3
9359.2,958.27
9375.3,1111.91
9392.4,1013.91
9408.9,904.76
9424.8,676.23
9439.4,719.92
9454.3,965.86
9470.7,893.2
9486.7,874.63
9502.6,807.83
9518.1,747.53
9533.3,657.06
9548.1,609.49
9562.6,713.28
9577.7,595.41
9592.2,387.29
9605.5,427.55
9619.0,64.38
9630.5,1076.89
9635.5,1203.27
9639.8,1584.16
9641.9,1448.0
9644.7,1419.7
9647.7,1590.96
9649.8,1342.06
9653.2,1330.28
9656.8,1274.77
9660.6,1424.43
